DIRECCION,FECHAREGISTRO,FECHAUPDATE,ID,NUMEROCUENTA,TELEFONO
Calle Ejemplo 1,2023-01-15T00:00:00,2023-01-15T00:00:00,1,100001,5551000001
Calle Ejemplo 2,2023-01-16T00:00:00,2023-01-16T00:00:00,2,100002,5551000002
Calle Ejemplo 3,2023-01-17T00:00:00,2023-01-17T00:00:00,3,100003,5551000003
Calle Ejemplo 4,2023-01-18T00:00:00,2023-01-18T00:00:00,4,100004,5551000004
Calle Ejemplo 5,2023-01-19T00:00:00,2023-01-19T00:00:00,5,100005,5551000005
Calle Ejemplo 6,2023-01-20T00:00:00,2023-01-20T00:00:00,6,100006,5551000006
Calle Ejemplo 7,2023-01-21T00:00:00,2023-01-21T00:00:00,7,100007,5551000007
Calle Ejemplo 8,2023-01-22T00:00:00,2023-01-22T00:00:00,8,100008,5551000008
Calle Ejemplo 9,2023-01-23T00:00:00,2023-01-23T00:00:00,9,100009,5551000009
Calle Ejemplo 10,2023-01-24T00:00:00,2023-01-24T00:00:00,10,100010,5551000010
Calle Ejemplo 11,2023-01-25T00:00:00,2023-01-25T00:00:00,11,100011,5551000011
Calle Ejemplo 12,2023-01-26T00:00:00,2023-01-26T00:00:00,12,100012,5551000012
Calle Ejemplo 13,2023-01-27T00:00:00,2023-01-27T00:00:00,13,100013,5551000013
Calle Ejemplo 14,2023-01-28T00:00:00,2023-01-28T00:00:00,14,100014,5551000014
Calle Ejemplo 15,2023-01-29T00:00:00,2023-01-29T00:00:00,15,100015,5551000015
Calle Ejemplo 16,2023-01-30T00:00:00,2023-01-30T00:00:00,16,100016,5551000016
Calle Ejemplo 17,2023-01-31T00:00:00,2023-01-31T00:00:00,17,100017,5551000017
Calle Ejemplo 18,2023-02-01T00:00:00,2023-02-01T00:00:00,18,100018,5551000018
Calle Ejemplo 19,2023-02-02T00:00:00,2023-02-02T00:00:00,19,100019,5551000019
Calle Ejemplo 20,2023-02-03T00:00:00,2023-02-03T00:00:00,20,100020,5551000020
